Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Deeplearning4J,2,1,512,407824,1, 42.999,0.5597, 0.751,0.1018, 0.919,0.0000
Deeplearning4J,2,1,1024,814864,1, 68.812,0.6150, 0.891,0.1097, 0.920,0.0000
Deeplearning4J,2,1,64,51664,5, 44.238,0.7854, 0.622,0.0797, 0.950,0.0000
Deeplearning4J,2,1,128,102544,5, 67.911,0.8294, 0.631,0.0760, 0.956,0.0000
Deeplearning4J,2,1,512,407824,5, 215.751,0.6518, 0.748,0.1045, 0.957,0.0000
Deeplearning4J,2,1,1024,814864,5, 344.106,3.2034, 0.874,0.0814, 0.960,0.0000
Deeplearning4J,2,1,64,51664,10, 88.932,0.5609, 0.596,0.0728, 0.967,0.0000
Deeplearning4J,2,1,128,102544,10, 138.246,0.7931, 0.630,0.1237, 0.968,0.0000
Deeplearning4J,2,1,512,407824,10, 426.967,1.3645, 0.732,0.0723, 0.972,0.0000
Deeplearning4J,2,1,1024,814864,10, 684.149,1.7194, 0.938,0.1225, 0.973,0.0000
